# ========================================================================
# ARCHIVO DE DATOS DE PRUEBA - SISTEMA DE MANTENIMIENTO DE EQUIPOS
# Formato: ID | Tipo | Criticidad | Estado Inicial
# Tipos: CRITICO, ESTANDAR
# Criticidad: 1-100 (mayor = más crítico)
# Estado: 0-100 (mayor = mejor estado)
# ========================================================================

# SECCIÓN 1: EQUIPOS
[EQUIPOS]
SERV-001 | CRITICO | 90 | 75
SERV-002 | CRITICO | 85 | 80
SERV-003 | CRITICO | 95 | 70
SERV-004 | ESTANDAR | 60 | 85
SERV-005 | ESTANDAR | 55 | 90
SERV-006 | ESTANDAR | 65 | 75
SERV-007 | CRITICO | 88 | 60
SERV-008 | ESTANDAR | 50 | 88
SERV-009 | ESTANDAR | 58 | 82
SERV-010 | CRITICO | 92 | 68
DB-001 | CRITICO | 95 | 65
DB-002 | ESTANDAR | 70 | 78
DB-003 | ESTANDAR | 65 | 80
RED-001 | CRITICO | 85 | 85
RED-002 | ESTANDAR | 60 | 87
RED-003 | ESTANDAR | 55 | 90
ALMAC-001 | CRITICO | 80 | 72
ALMAC-002 | ESTANDAR | 50 | 92
ALMAC-003 | ESTANDAR | 45 | 95
COMPUTE-001 | ESTANDAR | 70 | 76

# SECCIÓN 2: INCIDENCIAS
# Formato: ID_EQUIPO | SEVERIDAD | DÍA_INICIO
# SEVERIDAD: ALTA (3), MEDIA (2), BAJA (1)
[INCIDENCIAS]
SERV-001 | ALTA | 1
SERV-001 | MEDIA | 5
SERV-001 | ALTA | 10
SERV-002 | MEDIA | 2
SERV-002 | ALTA | 8
SERV-003 | ALTA | 1
SERV-003 | ALTA | 15
SERV-004 | BAJA | 3
SERV-004 | MEDIA | 12
SERV-005 | BAJA | 6
SERV-006 | MEDIA | 4
SERV-006 | BAJA | 18
SERV-007 | ALTA | 2
SERV-007 | ALTA | 14
SERV-008 | BAJA | 7
SERV-009 | MEDIA | 9
SERV-010 | ALTA | 1
SERV-010 | ALTA | 20
DB-001 | ALTA | 1
DB-001 | ALTA | 11
DB-002 | MEDIA | 5
DB-002 | BAJA | 16
DB-003 | BAJA | 8
RED-001 | MEDIA | 3
RED-001 | ALTA | 13
RED-002 | BAJA | 6
RED-002 | BAJA | 17
RED-003 | BAJA | 4
RED-003 | BAJA | 19
ALMAC-001 | ALTA | 2
ALMAC-001 | MEDIA | 12
ALMAC-002 | BAJA | 7
ALMAC-003 | BAJA | 9
COMPUTE-001 | MEDIA | 5
COMPUTE-001 | BAJA | 21
SERV-005 | MEDIA | 11
SERV-006 | ALTA | 25
DB-002 | MEDIA | 22
RED-001 | ALTA | 26
ALMAC-001 | ALTA | 28

# Notas:
# - Total de 20 equipos (15 críticos / 5 estándar aproximadamente)
# - Total de 40 incidencias distribuidas en los 30 días
# - La simulación evaluará 3 equipos por día (máximo técnicos)
# - Se generarán reportes diarios en la carpeta 'reportes/'
# - Cada día se degradan equipos y se acumulan incidencias
# ========================================================================
